,gene,Symbol,description
29995,ENSMUSG00000045757,Zfp764,zinc finger protein 764
29996,ENSMUSG00000030822,Prr14,proline rich 14
29997,ENSMUSG00000057176,Ccdc189,coiled-coil domain containing 189
29998,ENSMUSG00000030816,Rnf40,ring finger protein 40
29999,ENSMUSG00000030811,Fbxl19,F-box and leucine-rich repeat protein 19
30000,ENSMUSG00000042308,Setd1a,SET domain containing 1A
30001,ENSMUSG00000049739,Zfp646,zinc finger protein 646
30002,ENSMUSG00000030795,Fus,fused in sarcoma
30003,ENSMUSG00000042178,Armc5,armadillo repeat containing 5
30004,ENSMUSG00000030780,BC017158,cDNA sequence BC017158
30005,ENSMUSG00000013668,4933402N03Rik,RIKEN cDNA 4933402N03 gene
30006,ENSMUSG00000040125,Gpr26,G protein-coupled receptor 26
30007,ENSMUSG00000037519,Ppfia1,"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1"
30008,ENSMUSG00000048677,Tpcn2,two pore segment channel 2
30009,ENSMUSG00000058748,Zfp958,zinc finger protein 958
30010,ENSMUSG00000040459,Arglu1,arginine and glutamate rich 1
30011,ENSMUSG00000038542,Pcid2,PCI domain containing 2
30012,ENSMUSG00000031448,Adprhl1,ADP-ribosylhydrolase like 1
30013,ENSMUSG00000038497,Tmco3,transmembrane and coiled-coil domains 3
30014,ENSMUSG00000051978,Erich1,glutamate rich 1
30015,ENSMUSG00000071176,Arhgef10,Rho guanine nucleotide exchange factor (GEF) 10
30016,ENSMUSG00000031481,Tpte,transmembrane phosphatase with tensin homology
30017,ENSMUSG00000031535,Dkk4,dickkopf WNT signaling pathway inhibitor 4
30018,ENSMUSG00000054823,Nsd3,nuclear receptor binding SET domain protein 3
30019,ENSMUSG00000031577,Tti2,TELO2 interacting protein 2
30020,ENSMUSG00000071113,Mboat4,membrane bound O-acyltransferase domain containing 4
30022,ENSMUSG00000031594,Fgl1,fibrinogen-like protein 1
30024,ENSMUSG00000031626,Sorbs2,sorbin and SH3 domain containing 2
30025,ENSMUSG00000047171,Helt,helt bHLH transcription factor
30026,ENSMUSG00000039396,Neil3,nei like 3 (E. coli)
30027,ENSMUSG00000031517,Gpm6a,glycoprotein m6a
30028,ENSMUSG00000049946,BC030500,cDNA sequence BC030500
30029,ENSMUSG00000031641,Cbr4,carbonyl reductase 4
30030,ENSMUSG00000037921,Ddx60,DEAD (Asp-Glu-Ala-Asp) box polypeptide 60
30031,ENSMUSG00000053490,Trim60,tripartite motif-containing 60
30032,ENSMUSG00000014907,Naf1,nuclear assembly factor 1 ribonucleoprotein
30033,ENSMUSG00000030465,Psd3,pleckstrin and Sec7 domain containing 3
30034,ENSMUSG00000036356,Csgalnact1,chondroitin sulfate N-acetylgalactosaminyltransferase 1
30035,ENSMUSG00000059897,Zfp930,zinc finger protein 930
30036,ENSMUSG00000060427,Zfp868,zinc finger protein 868
30037,ENSMUSG00000048967,Yjefn3,YjeF N-terminal domain containing 3
30038,ENSMUSG00000036180,Gatad2a,GATA zinc finger domain containing 2A
30039,ENSMUSG00000002342,Tmem161a,transmembrane protein 161A
30040,ENSMUSG00000036054,Sugp2,SURP and G patch domain containing 2
30041,ENSMUSG00000057788,Ddx49,DEAD (Asp-Glu-Ala-Asp) box polypeptide 49
30042,ENSMUSG00000055707,Klhl26,kelch-like 26
30043,ENSMUSG00000035559,Mpv17l2,MPV17 mitochondrial membrane protein-like 2
30044,ENSMUSG00000007721,Ccdc124,coiled-coil domain containing 124
30045,ENSMUSG00000034911,Ushbp1,USH1 protein network component harmonin binding protein 1
30046,ENSMUSG00000046295,Ankle1,ankyrin repeat and LEM domain containing 1
30047,ENSMUSG00000034829,Nxnl1,nucleoredoxin-like 1
30048,ENSMUSG00000034807,Colgalt1,collagen beta(1-O)galactosyltransferase 1
30049,ENSMUSG00000052446,Zfp961,zinc finger protein 961
30050,ENSMUSG00000074240,Cib3,calcium and integrin binding family member 3
30051,ENSMUSG00000031617,Tmem184c,transmembrane protein 184C
30054,ENSMUSG00000037940,Inpp4b,"inositol polyphosphate-4-phosphatase, type II"
30055,ENSMUSG00000048617,Rtbdn,retbindin
30056,ENSMUSG00000031657,Heatr3,HEAT repeat containing 3
30057,ENSMUSG00000031725,Ces1f,carboxylesterase 1F
30058,ENSMUSG00000034361,Cpne2,copine II
30059,ENSMUSG00000063605,Ccdc102a,coiled-coil domain containing 102A
30060,ENSMUSG00000036564,Ndrg4,N-myc downstream regulated gene 4
30061,ENSMUSG00000036550,Cnot1,"CCR4-NOT transcription complex, subunit 1"
30062,ENSMUSG00000036534,Slc38a7,"solute carrier family 38, member 7"
30063,ENSMUSG00000052479,A330008L17Rik,RIKEN cDNA A330008L17 gene
30064,ENSMUSG00000035770,Dync1li2,"dynein, cytoplasmic 1 light intermediate chain 2"
30065,ENSMUSG00000031878,Nae1,NEDD8 activating enzyme E1 subunit 1
30066,ENSMUSG00000050097,Ces2b,carboxyesterase 2B
30067,ENSMUSG00000061825,Ces2c,carboxylesterase 2C
30068,ENSMUSG00000031886,Ces2e,carboxylesterase 2E
30069,ENSMUSG00000060560,Ces4a,carboxylesterase 4A
30070,ENSMUSG00000031889,D230025D16Rik,RIKEN cDNA D230025D16 gene
30071,ENSMUSG00000014791,Elmo3,engulfment and cell motility 3
30072,ENSMUSG00000041679,Lrrc29,leucine rich repeat containing 29
30073,ENSMUSG00000014778,Fhod1,formin homology 2 domain containing 1
30074,ENSMUSG00000050357,Carmil2,capping protein regulator and myosin 1 linker 2
30075,ENSMUSG00000036270,Edc4,enhancer of mRNA decapping 4
30076,ENSMUSG00000044287,Nrn1l,neuritin 1-like
30078,ENSMUSG00000031723,Txnl4b,thioredoxin-like 4B
30079,ENSMUSG00000001670,Tat,tyrosine aminotransferase
30080,ENSMUSG00000044676,Zfp612,zinc finger protein 612
30081,ENSMUSG00000046441,Cmtr2,cap methyltransferase 2
30082,ENSMUSG00000010936,Vac14,Vac14 homolog (S. cerevisiae)
30083,ENSMUSG00000033703,Fcsk,fucose kinase
30084,ENSMUSG00000033658,Ddx19b,DEAD (Asp-Glu-Ala-Asp) box polypeptide 19b
30085,ENSMUSG00000031960,Aars,alanyl-tRNA synthetase
30086,ENSMUSG00000033596,Rfwd3,ring finger and WD repeat domain 3
30087,ENSMUSG00000031951,Tmem231,transmembrane protein 231
30089,ENSMUSG00000047388,Atmin,ATM interactor
30090,ENSMUSG00000034330,Plcg2,"phospholipase C, gamma 2"
30091,ENSMUSG00000034224,Slc38a8,"solute carrier family 38, member 8"
30092,ENSMUSG00000031828,Klhl36,kelch-like 36
30093,ENSMUSG00000031824,6430548M08Rik,RIKEN cDNA 6430548M08 gene
30094,ENSMUSG00000031816,Mthfsd,methenyltetrahydrofolate synthetase domain containing
30095,ENSMUSG00000040263,Klhdc4,kelch domain containing 4
30096,ENSMUSG00000046108,Il17c,interleukin 17C
30097,ENSMUSG00000014444,Piezo1,piezo-type mechanosensitive ion channel component 1
30098,ENSMUSG00000000738,Spg7,"SPG7, paraplegin matrix AAA peptidase subunit"
30100,ENSMUSG00000000743,Chmp1a,charged multivesicular body protein 1A
30101,ENSMUSG00000033862,Cdk10,cyclin-dependent kinase 10
30102,ENSMUSG00000010154,Spire2,spire type actin nucleation factor 2
30103,ENSMUSG00000110599,6030466F02Rik,RIKEN cDNA 6030466F02 gene
30104,ENSMUSG00000039509,Nup133,nucleoporin 133
30105,ENSMUSG00000037300,Ttc13,tetratricopeptide repeat domain 13
30106,ENSMUSG00000031853,Map3k21,mitogen-activated protein kinase kinase kinase 21
30107,ENSMUSG00000041624,Gucy1a2,"guanylate cyclase 1, soluble, alpha 2"
30108,ENSMUSG00000070323,Mmp27,matrix metallopeptidase 27
30109,ENSMUSG00000053070,Cfap300,cilia and flagella associated protein 300
30110,ENSMUSG00000040729,Cep126,centrosomal protein 126
30111,ENSMUSG00000031935,Med17,mediator complex subunit 17
30112,ENSMUSG00000039977,Deup1,deuterosome assembly protein 1
30113,ENSMUSG00000043885,Slc36a4,"solute carrier family 36 (proton/amino acid symporter), member 4"
30114,ENSMUSG00000047508,Mbd3l2,methyl-CpG binding domain protein 3-like 2
30115,ENSMUSG00000059475,Zfp426,zinc finger protein 426
30116,ENSMUSG00000053773,Rdh8,retinol dehydrogenase 8
30117,ENSMUSG00000004100,Ppan,peter pan homolog
30118,ENSMUSG00000002820,Atg4d,"autophagy related 4D, cysteine peptidase"
30119,ENSMUSG00000032194,Kank2,KN motif and ankyrin repeat domains 2
30120,ENSMUSG00000040883,Tmem205,transmembrane protein 205
30121,ENSMUSG00000040563,Plppr2,phospholipid phosphatase related 2
30122,ENSMUSG00000057982,Zfp809,zinc finger protein 809
30123,ENSMUSG00000062794,Zfp599,zinc finger protein 599
30124,ENSMUSG00000066829,Zfp810,zinc finger protein 810
30125,ENSMUSG00000047995,Cypt4,cysteine-rich perinuclear theca 4
30126,ENSMUSG00000001833,Sept7,septin 7
30127,ENSMUSG00000034275,Igsf9b,"immunoglobulin superfamily, member 9B"
30128,ENSMUSG00000059974,Ntm,neurotrimin
30129,ENSMUSG00000033453,Adamts15,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 15"
30130,ENSMUSG00000047412,Zbtb44,zinc finger and BTB domain containing 44
30131,ENSMUSG00000042185,Nfrkb,nuclear factor related to kappa B binding protein
30132,ENSMUSG00000041737,Tmem45b,transmembrane protein 45b
30133,ENSMUSG00000039048,Foxred1,FAD-dependent oxidoreductase domain containing 1
30134,ENSMUSG00000032118,Fez1,fasciculation and elongation protein zeta 1 (zygin I)
30135,ENSMUSG00000042138,Msantd2,Myb/SANT-like DNA-binding domain containing 2
30136,ENSMUSG00000058856,Olfr952,olfactory receptor 952
30137,ENSMUSG00000062121,Olfr149,olfactory receptor 149
30139,ENSMUSG00000049281,Scn3b,"sodium channel, voltage-gated, type III, beta"
30140,ENSMUSG00000040111,Gramd1b,GRAM domain containing 1B
30141,ENSMUSG00000032018,Sc5d,sterol-C5-desaturase
30142,ENSMUSG00000048503,Tmem136,transmembrane protein 136
30144,ENSMUSG00000079592,C1qtnf5,C1q and tumor necrosis factor related protein 5
30145,ENSMUSG00000042790,Rnf214,ring finger protein 214
30146,ENSMUSG00000066687,Zbtb16,zinc finger and BTB domain containing 16
30147,ENSMUSG00000032267,Usp28,ubiquitin specific peptidase 28
30148,ENSMUSG00000054156,Gm4894,predicted gene 4894
30149,ENSMUSG00000040219,Ttc12,tetratricopeptide repeat domain 12
30150,ENSMUSG00000000168,Dlat,dihydrolipoamide S-acetyltransferase (E2 component of pyruvate dehydrogenase complex)
30151,ENSMUSG00000037112,Sik2,salt inducible kinase 2
30152,ENSMUSG00000032057,4833427G06Rik,RIKEN cDNA 4833427G06 gene
30153,ENSMUSG00000046167,Gldn,gliomedin
30154,ENSMUSG00000041268,Dmxl2,Dmx-like 2
30155,ENSMUSG00000035878,Hykk,hydroxylysine kinase 1
30157,ENSMUSG00000049556,Lingo1,leucine rich repeat and Ig domain containing 1
30158,ENSMUSG00000032733,Snx33,sorting nexin 33
30159,ENSMUSG00000039714,Cplx3,complexin 3
30160,ENSMUSG00000056271,Lman1l,"lectin, mannose-binding 1 like"
30161,ENSMUSG00000041729,Coro2b,"coronin, actin binding protein, 2B"
30162,ENSMUSG00000032401,Lctl,lactase-like
30163,ENSMUSG00000038664,Herc1,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
30164,ENSMUSG00000032376,Usp3,ubiquitin specific peptidase 3
30165,ENSMUSG00000036943,Rab8b,"RAB8B, member RAS oncogene family"
30166,ENSMUSG00000033543,Gtf2a2,"general transcription factor II A, 2"
30167,ENSMUSG00000042444,Mindy2,MINDY lysine 48 deubiquitinase 2
30168,ENSMUSG00000038535,Zfp280d,zinc finger protein 280D
30169,ENSMUSG00000036030,Prtg,protogenin
30170,ENSMUSG00000034858,Fam214a,"family with sequence similarity 214, member A"
30171,ENSMUSG00000042487,Leo1,"Leo1, Paf1/RNA polymerase II complex component"
30173,ENSMUSG00000049624,Slc17a5,"solute carrier family 17 (anion/sugar transporter), member 5"
30174,ENSMUSG00000046186,Cd109,CD109 antigen
30176,ENSMUSG00000032377,Plscr4,phospholipid scramblase 4
30177,ENSMUSG00000041440,Gk5,glycerol kinase 5 (putative)
30178,ENSMUSG00000043587,Pxylp1,2-phosphoxylose phosphatase 1
30179,ENSMUSG00000043154,Ppp2r3a,"protein phosphatase 2, regulatory subunit B'', alpha"
30180,ENSMUSG00000032555,Topbp1,topoisomerase (DNA) II binding protein 1
30181,ENSMUSG00000032560,Dnajc13,DnaJ heat shock protein family (Hsp40) member C13
30182,ENSMUSG00000032570,Atp2c1,"ATPase, Ca++-sequestering"
30183,ENSMUSG00000020258,Glyctk,glycerate kinase
30184,ENSMUSG00000053716,Dusp7,dual specificity phosphatase 7
30185,ENSMUSG00000023249,Parp3,"poly (ADP-ribose) polymerase family, member 3"
30186,ENSMUSG00000037977,6430571L13Rik,RIKEN cDNA 6430571L13 gene
30187,ENSMUSG00000032936,Camkv,CaM kinase-like vesicle-associated
30188,ENSMUSG00000032590,Apeh,acylpeptide hydrolase
30189,ENSMUSG00000025646,Atrip,ATR interacting protein
30190,ENSMUSG00000053646,Plxnb1,plexin B1
30191,ENSMUSG00000074061,Fbxw19,F-box and WD-40 domain protein 19
30192,ENSMUSG00000032485,Scap,SREBF chaperone
30193,ENSMUSG00000044791,Setd2,SET domain containing 2
30194,ENSMUSG00000056724,Nbeal2,neurobeachin-like 2
30195,ENSMUSG00000044664,Prss42,"protease, serine 42"
30196,ENSMUSG00000048752,Prss50,"protease, serine 50"
30197,ENSMUSG00000044037,Als2cl,ALS2 C-terminal like
30198,ENSMUSG00000096393,Fam240a,family with sequence similarity 240 member A
30199,ENSMUSG00000066319,Rtp3,receptor transporter protein 3
30200,ENSMUSG00000032435,Dync1li1,dynein cytoplasmic 1 light intermediate chain 1
30201,ENSMUSG00000010651,Acaa1b,acetyl-Coenzyme A acyltransferase 1B
30202,ENSMUSG00000047036,Zfp445,zinc finger protein 445
30203,ENSMUSG00000096719,Mrgpra2b,"MAS-related GPR, member A2B"
30206,ENSMUSG00000067173,Mrgpra4,"MAS-related GPR, member A4"
30208,ENSMUSG00000071281,Zfp65,zinc finger protein 65
30210,ENSMUSG00000069208,Zfp825,zinc finger protein 825
30212,ENSMUSG00000070313,Pate14,prostate and testis expressed 14
30215,ENSMUSG00000096233,Gm13238,carnitine deficiency-associated gene expressed in ventricle 3 pseudogene
30216,ENSMUSG00000063897,Dhrsx,dehydrogenase/reductase (SDR family) X chromosome
30217,ENSMUSG00000053303,Slc22a26,"solute carrier family 22 (organic cation transporter), member 26"
30218,ENSMUSG00000056019,Zfp709,zinc finger protein 709
30219,ENSMUSG00000095821,Tcstv3,"2-cell-stage, variable group, member 3"
30220,ENSMUSG00000063810,Alms1,"ALMS1, centrosome and basal body associated"
30221,ENSMUSG00000047344,Lancl3,LanC lantibiotic synthetase component C-like 3 (bacterial)
30222,ENSMUSG00000075044,Slc22a29,solute carrier family 22. member 29
30224,ENSMUSG00000043263,Ifi209,interferon activated gene 209
30225,ENSMUSG00000073197,5730507C01Rik,RIKEN cDNA 5730507C01 gene
30228,ENSMUSG00000091649,Phf11b,PHD finger protein 11B
30230,ENSMUSG00000068947,Olfr366,olfactory receptor 366
30231,ENSMUSG00000041530,Ago1,argonaute RISC catalytic subunit 1
30232,ENSMUSG00000070902,Zfp352,zinc finger protein 352
30233,ENSMUSG00000053398,Phgdh,3-phosphoglycerate dehydrogenase
30234,ENSMUSG00000095071,AF067061,cDNA sequence AF067061
30236,ENSMUSG00000029298,Gbp9,guanylate-binding protein 9
30237,ENSMUSG00000073457,Smok2b,sperm motility kinase 2B
30238,ENSMUSG00000061654,Spry3,sprouty RTK signaling antagonist 3
30241,ENSMUSG00000054453,Sytl5,synaptotagmin-like 5
30242,ENSMUSG00000069038,H2al1j,H2A histone family member L1J
30243,ENSMUSG00000051228,Nyx,nyctalopin
30244,ENSMUSG00000037341,Slc9a7,"solute carrier family 9 (sodium/hydrogen exchanger), member 7"
30245,ENSMUSG00000031060,Rbm10,RNA binding motif protein 10
30246,ENSMUSG00000031066,Usp11,ubiquitin specific peptidase 11
30248,ENSMUSG00000068113,Gm4907,predicted gene 4907
30250,ENSMUSG00000051209,Gpr119,G-protein coupled receptor 119
30251,ENSMUSG00000071764,Olfr1320,olfactory receptor 1320
30252,ENSMUSG00000067971,Olfr1321,olfactory receptor 1321
30253,ENSMUSG00000035967,Ints6l,integrator complex subunit 6 like
30254,ENSMUSG00000061273,Mmgt1,membrane magnesium transporter 1
30255,ENSMUSG00000060681,Slc9a6,"solute carrier family 9 (sodium/hydrogen exchanger), member 6"
30256,ENSMUSG00000053852,Adgrg4,adhesion G protein-coupled receptor G4
30259,ENSMUSG00000073139,Tmem185a,transmembrane protein 185A
30260,ENSMUSG00000043453,Magea10,"melanoma antigen family A, 10"
30262,ENSMUSG00000079519,Gm14743,predicted gene 14743
30266,ENSMUSG00000035246,Pcyt1b,"phosphate cytidylyltransferase 1, choline, beta isoform"
30267,ENSMUSG00000035232,Pdk3,"pyruvate dehydrogenase kinase, isoenzyme 3"
30268,ENSMUSG00000043929,Klhl15,kelch-like 15
30270,ENSMUSG00000025656,Arhgef9,CDC42 guanine nucleotide exchange factor (GEF) 9
30271,ENSMUSG00000031216,Stard8,START domain containing 8
30272,ENSMUSG00000051220,Ercc6l,excision repair cross-complementing rodent repair deficiency complementation group 6 like
30277,ENSMUSG00000050435,Ube2dnl1,ubiquitin-conjugating enzyme E2D N-terminal like 1
30278,ENSMUSG00000025597,Klhl4,kelch-like 4
30280,ENSMUSG00000058670,4932411N23Rik,RIKEN cDNA 4932411N23 gene
30282,ENSMUSG00000031257,Nox1,NADPH oxidase 1
30284,ENSMUSG00000049536,Tceal1,transcription elongation factor A (SII)-like 1
30285,ENSMUSG00000031433,Rbm41,RNA binding motif protein 41
30286,ENSMUSG00000042271,Nxt2,nuclear transport factor 2-like export factor 2
30287,ENSMUSG00000041700,Lhfpl1,lipoma HMGIC fusion partner-like 1
30289,ENSMUSG00000025266,Gnl3l,guanine nucleotide binding protein-like 3 (nucleolar)-like
30291,ENSMUSG00000031298,Adgrg2,adhesion G protein-coupled receptor G2
30292,ENSMUSG00000062168,Ppef1,protein phosphatase with EF hand calcium-binding domain 1
30293,ENSMUSG00000047757,Fancb,"Fanconi anemia, complementation group B"
30294,ENSMUSG00000018589,Glra2,"glycine receptor, alpha 2 subunit"
30295,ENSMUSG00000040621,Gemin8,gem nuclear organelle associated protein 8
30296,ENSMUSG00000040586,Ofd1,"OFD1, centriole and centriolar satellite protein"
30299,ENSMUSG00000019796,Lrp11,low density lipoprotein receptor-related protein 11
30300,ENSMUSG00000039981,Zc3h12d,zinc finger CCCH type containing 12D
30301,ENSMUSG00000044624,Gm4922,predicted gene 4922
30302,ENSMUSG00000039760,Il22ra2,"interleukin 22 receptor, alpha 2"
30303,ENSMUSG00000020007,Il20ra,"interleukin 20 receptor, alpha"
30304,ENSMUSG00000037542,Aldh8a1,"aldehyde dehydrogenase 8 family, member A1"
30305,ENSMUSG00000071359,Tbpl1,TATA box binding protein-like 1
30306,ENSMUSG00000039089,L3mbtl3,L3MBTL3 histone methyl-lysine binding protein
30307,ENSMUSG00000037990,Sh3rf3,SH3 domain containing ring finger 3
30308,ENSMUSG00000059901,Adamts14,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 14"
30310,ENSMUSG00000020090,Npffr1,neuropeptide FF receptor 1
30311,ENSMUSG00000051652,Lrrc3,leucine rich repeat containing 3
30312,ENSMUSG00000045912,C2cd4c,C2 calcium-dependent domain containing 4C
30313,ENSMUSG00000048696,Mex3d,mex3 RNA binding family member D
30314,ENSMUSG00000051067,Lingo3,leucine rich repeat and Ig domain containing 3
30315,ENSMUSG00000062931,Zfp938,zinc finger protein 938
30316,ENSMUSG00000073427,Gm4924,predicted gene 4924
30317,ENSMUSG00000035620,Ric8b,RIC8 guanine nucleotide exchange factor B
30319,ENSMUSG00000074802,Gas2l3,growth arrest-specific 2 like 3
30320,ENSMUSG00000020015,Cdk17,cyclin-dependent kinase 17
30321,ENSMUSG00000036168,Ccdc38,coiled-coil domain containing 38
30322,ENSMUSG00000036676,Tmtc3,transmembrane and tetratricopeptide repeat containing 3
30323,ENSMUSG00000044921,Rassf9,Ras association (RalGDS/AF-6) domain family (N-terminal) member 9
30324,ENSMUSG00000035916,Ptprq,"protein tyrosine phosphatase, receptor type, Q"
30325,ENSMUSG00000020189,Osbpl8,oxysterol binding protein-like 8
30326,ENSMUSG00000050663,Trhde,TRH-degrading enzyme
30327,ENSMUSG00000034057,Myrfl,myelin regulatory factor-like
30328,ENSMUSG00000060187,Lrrc10,leucine rich repeat containing 10
30329,ENSMUSG00000040287,Stac3,SH3 and cysteine rich domain 3
30330,ENSMUSG00000014498,Ankrd52,ankyrin repeat domain 52
30331,ENSMUSG00000034579,Pla2g3,"phospholipase A2, group III"
30332,ENSMUSG00000020447,Npc1l1,NPC1 like intracellular cholesterol transporter 1
30333,ENSMUSG00000078962,4932414J04Rik,RIKEN cDNA 4932414J04 gene
30334,ENSMUSG00000044072,Eml6,echinoderm microtubule associated protein like 6
30335,ENSMUSG00000043999,Gpr75,G protein-coupled receptor 75
30336,ENSMUSG00000051062,Fbll1,fibrillarin-like 1
30337,ENSMUSG00000086909,Gm4926,T-cell immunoglobulin and mucin domain containing 2 pseudogene
30338,ENSMUSG00000040283,Btnl9,butyrophilin-like 9
30339,ENSMUSG00000048728,Zfp454,zinc finger protein 454
30340,ENSMUSG00000063564,Col23a1,"collagen, type XXIII, alpha 1"
30341,ENSMUSG00000044352,Sowaha,sosondowah ankyrin repeat domain family member A
30342,ENSMUSG00000054519,Zfp867,zinc finger protein 867
30343,ENSMUSG00000018599,Mief2,mitochondrial elongation factor 2
30344,ENSMUSG00000049323,Smcr8,"Smith-Magenis syndrome chromosome region, candidate 8 homolog (human)"
30345,ENSMUSG00000056752,Dnah9,"dynein, axonemal, heavy chain 9"
